DATE,Mtg15
1/5/2017,3.44
1/12/2017,3.37
1/19/2017,3.34
1/26/2017,3.4
2/2/2017,3.41
2/9/2017,3.39
2/16/2017,3.35
2/23/2017,3.37
3/2/2017,3.32
3/9/2017,3.42
3/16/2017,3.5
3/23/2017,3.44
3/30/2017,3.39
4/6/2017,3.36
4/13/2017,3.34
4/20/2017,3.23
4/27/2017,3.27
5/4/2017,3.27
5/11/2017,3.29
5/18/2017,3.27
5/25/2017,3.19
6/1/2017,3.19
6/8/2017,3.16
6/15/2017,3.18
6/22/2017,3.17
6/29/2017,3.17
7/6/2017,3.22
7/13/2017,3.29
7/20/2017,3.23
7/27/2017,3.2
8/3/2017,3.18
8/10/2017,3.18
8/17/2017,3.16
8/24/2017,3.16
8/31/2017,3.12
9/7/2017,3.08
9/14/2017,3.08
9/21/2017,3.13
9/28/2017,3.13
10/5/2017,3.15
10/12/2017,3.21
10/19/2017,3.19
10/26/2017,3.25
11/2/2017,3.27
11/9/2017,3.24
11/16/2017,3.31
11/22/2017,3.32
11/30/2017,3.3
12/7/2017,3.36
12/14/2017,3.36
12/21/2017,3.38
12/28/2017,3.44
1/4/2018,3.38
1/11/2018,3.44
1/18/2018,3.49
1/25/2018,3.62
2/1/2018,3.68
2/8/2018,3.77
2/15/2018,3.84
2/22/2018,3.85
3/1/2018,3.9
3/8/2018,3.94
3/15/2018,3.9
3/22/2018,3.91
3/29/2018,3.9
4/5/2018,3.87
4/12/2018,3.87
4/19/2018,3.94
4/26/2018,4.02
5/3/2018,4.03
5/10/2018,4.01
5/17/2018,4.08
5/24/2018,4.15
5/31/2018,4.06
6/7/2018,4.01
6/14/2018,4.07
6/21/2018,4.04
6/28/2018,4.04
7/5/2018,3.99
7/12/2018,4.02
7/19/2018,4
7/26/2018,4.02
8/2/2018,4.08
8/9/2018,4.05
8/16/2018,4.01
8/23/2018,3.98
8/30/2018,3.97
9/6/2018,3.99
9/13/2018,4.06
9/20/2018,4.11
9/27/2018,4.16
10/4/2018,4.15
10/11/2018,4.29
10/18/2018,4.26
10/25/2018,4.29
11/1/2018,4.23
11/8/2018,4.33
11/15/2018,4.36
11/21/2018,4.24
11/29/2018,4.25
12/6/2018,4.21
12/13/2018,4.07
12/20/2018,4.07
12/27/2018,4.01
1/3/2019,3.99
1/10/2019,3.89
1/17/2019,3.88
1/24/2019,3.88
1/31/2019,3.89
2/7/2019,3.84
2/14/2019,3.81
2/21/2019,3.78
2/28/2019,3.77
3/7/2019,3.83
3/14/2019,3.76
3/21/2019,3.71
3/28/2019,3.57
4/4/2019,3.56
4/11/2019,3.6
4/18/2019,3.62
4/25/2019,3.64
5/2/2019,3.6
5/9/2019,3.57
5/16/2019,3.53
5/23/2019,3.51
5/30/2019,3.46
6/6/2019,3.28
6/13/2019,3.26
6/20/2019,3.25
6/27/2019,3.16
7/3/2019,3.18
7/11/2019,3.22
7/18/2019,3.23
